type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorialThird,32.0,25.6,42.4,5,6-10,23.8,35.7,40.5,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,11-15,25.5,34.5,40.0,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,16-20,50.0,10.3,39.7,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,21-25,44.8,13.8,41.4,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,26-30,37.8,21.6,40.6,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,31-35,57.6,9.1,33.3,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,36-40,50.0,11.4,38.6,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,41-45,40.2,16.3,43.5,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,46-50,30.6,22.4,47.0,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,51-55,51.9,19.2,28.9,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,56-60,34.8,8.7,56.5,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,61-65,30.0,30.0,40.0,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,66-70,31.7,28.6,39.7,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,71-75,30.2,26.4,43.4,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,76-80,17.6,50.0,32.4,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,81-85,28.9,26.7,44.4,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,86-90,9.0,40.3,50.7,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,15,0-15,24.0,32.2,43.8,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,15,16-30,45.2,14.5,40.3,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,15,31-45,46.2,13.6,40.2,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,15,46-60,40.3,18.5,41.2,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,15,61-75,30.7,28.3,41.0,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,15,76-90,14.6,39.0,46.4,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,45,0-45,38.5,20.0,41.5,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,45,46-90,26.2,30.4,43.4,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
